		"SFUI_MainMenu_News_Title"			"News"
		"SFUI_MainMenu_Streams_Viewers"		" viewers on "
		"SFUI_MainMenu_Streams_Title"		"Live Streams"

		"SFUI_MainMenu_TeamIcon_CT"			"CT"
		"SFUI_MainMenu_TeamIcon_T"			"T"

		"SFUI_MainMenu_Navigation_Root"		"${confirm} Select" [$X360]
		"SFUI_MainMenu_Navigation_Root"		"${confirm} Select     ${north} View Invites"[$PS3]
		"SFUI_MainMenu_Navigation_Root_Invite_On"		"${confirm} Select     ${north} View Invites  <img src='icon-invite.png'/>"
		"SFUI_MainMenu_Navigation_Submenu"				"${cancel} Back     ${confirm} Select"[$X360]
		"SFUI_MainMenu_Navigation_Submenu"				"${cancel} Back     ${confirm} Select     ${north} View Invites" [$PS3]
		"SFUI_MainMenu_Navigation_Submenu_Invite_On"	"${cancel} Back     ${confirm} Select     ${north} View Invites  <img src='icon-invite.png'/>"

		"SFUI_MainMenu_Navigation_Root"		"" [$WIN32]
		"SFUI_MainMenu_Navigation_Submenu"	"" [$WIN32]

		"SFUI_MainMenu_TickerText"		"Message of the Day: 50% off all Avatar Gear in Marketplace!"

		"SFUI_MOTD_Title" "Server's Message of the Day"

		"SFUI_MainMenu_ExitGameConfirmation_Title"		"EXIT GAME"
		"SFUI_MainMenu_ExitGameConfirmation_Message"	"Do you wish to exit the game now?"
		"SFUI_MainMenu_ExitGameConfirmation_Navigation"	"${cancel} Cancel     ${confirm} Yes"

		"SFUI_MainMenu_Player2Join" "Player 2 press ${start} to join"
		"SFUI_MainMenu_Player2Leave" "%s1 press ${start} to leave"

		"SFUI_MainMenu_MigrateHost_Title"	"Host Migrating"
		"SFUI_MainMenu_MigrateHost_Message"	"The server disconnected.  Please wait while we migrate to a new server."
		"SFUI_MainMenu_MigrateHost_Navigation"	"${cancel} Cancel Migration"

		"SFUI_MainMenu_ServerBrowserWarning_Title" "Community Servers"
		"SFUI_MainMenu_ServerBrowserWarning_Text" "Community servers may include maps or modes that offer a different experience than the official servers."
		"SFUI_MainMenu_ServerBrowserWarning_Text2" "Community servers are run by other players and offer new and different experiences from official servers.\n\nExplore, save your favorites for later, and have fun!"

		"SFUI_MainMenu_TimerDesc_Text"				"Competitive Cooldown"
		"SFUI_MainMenu_Competitive_Ban_Title"		"Competitive Cooldown"
		"SFUI_MainMenu_Rollback_Ban_Title"		"Party Member Banned"
		"SFUI_MainMenu_Global_Ban_Title"		"Global Cooldown"
		"SFUI_MainMenu_Temporary_Ban_Title"		"Temporary Cooldown"
		"SFUI_MainMenu_Competitive_Ban_Confirm_Title"		"Competitive Cooldown Expired"
		"SFUI_MainMenu_OfficalBanTimerDesc_Text"	"Violation Cooldown"
		"SFUI_MainMenu_ServerBrowserWarning_NeverShow" "NEVER SHOW AGAIN"
		"SFUI_MainMenu_Days_Text"					"Days"
		"SFUI_MainMenu_ServerBrowserWarning_Legend" "${cancel} Back     ${confirm} OK"
		"SFUI_MainMenu_ServerBrowserWarning_NeverShow" "NEVER SHOW AGAIN"

		"SFUI_MainMenu_CommendTooltip_friendly" "Number of unique commendations received for being <b>Friendly</b>"
		"SFUI_MainMenu_CommendTooltip_leader"   "Number of unique commendations received for being a <b>Leader</b>"
		"SFUI_MainMenu_CommendTooltip_teaching"  "Number of unique commendations received for being a <b>Teacher</b>"
		"SFUI_MainMenu_Tooltip_Arms"            "Arms Race & Demolition Medal"
		"SFUI_MainMenu_Tooltip_Arms_r1"         "Arms Race & Demolition Medal"
		"SFUI_MainMenu_Tooltip_Arms_r2"         "Silver Arms Race & Demolition Medal"
		"SFUI_MainMenu_Tooltip_Arms_r3"         "Gold Arms Race & Demolition Medal"
		"SFUI_MainMenu_Tooltip_Global"          "Global Expertise Medal"
		"SFUI_MainMenu_Tooltip_Global_r1"       "Global Expertise Medal"
		"SFUI_MainMenu_Tooltip_Global_r2"       "Silver Global Expertise Medal"
		"SFUI_MainMenu_Tooltip_Global_r3"       "Gold Global Expertise Medal"
		"SFUI_MainMenu_Tooltip_Team"            "Team Tactics Medal"
		"SFUI_MainMenu_Tooltip_Team_r1"         "Team Tactics Medal"
		"SFUI_MainMenu_Tooltip_Team_r2"         "Silver Team Tactics Medal"
		"SFUI_MainMenu_Tooltip_Team_r3"         "Gold Team Tactics Medal"
		"SFUI_MainMenu_Tooltip_Combat"          "Combat Skills Medal"
		"SFUI_MainMenu_Tooltip_Combat_r1"       "Combat Skills Medal"
		"SFUI_MainMenu_Tooltip_Combat_r2"       "Silver Combat Skills Medal"
		"SFUI_MainMenu_Tooltip_Combat_r3"       "Gold Combat Skills Medal"
		"SFUI_MainMenu_Tooltip_Weapon"          "Weapon Specialist Medal"
		"SFUI_MainMenu_Tooltip_Weapon_r1"       "Weapon Specialist Medal"
		"SFUI_MainMenu_Tooltip_Weapon_r2"       "Silver Weapon Specialist Medal"
		"SFUI_MainMenu_Tooltip_Weapon_r3"       "Gold Weapon Specialist Medal"
		"SFUI_MainMenu_Tooltip_1OpPayback"		"Challenge Coin for 'Operation Payback'"
		"SFUI_MainMenu_Tooltip_1OpPayback_r1"	"Pass for 'Operation Payback'"
		"SFUI_MainMenu_Tooltip_1OpPayback_r2"	"Challenge Coin for 'Operation Payback'"
		"SFUI_MainMenu_Tooltip_1OpPayback_r3"	"Silver Coin for 'Operation Payback'"
		"SFUI_MainMenu_Tooltip_1OpPayback_r4"	"Gold Coin for 'Operation Payback'"
		"SFUI_MainMenu_Tooltip_2OpBravo"		"Challenge Coin for 'Operation Bravo'"
		"SFUI_MainMenu_Tooltip_2OpBravo_r1"	    "Pass for 'Operation Bravo'"
		"SFUI_MainMenu_Tooltip_2OpBravo_r2" 	"Challenge Coin for 'Operation Bravo'"
		"SFUI_MainMenu_Tooltip_2OpBravo_r3"	    "Silver Coin for 'Operation Bravo'"
		"SFUI_MainMenu_Tooltip_2OpBravo_r4"	    "Gold Coin for 'Operation Bravo'"
		
		"SFUI_MainMenu_Tooltip_3OpPhoenix"		"Challenge Coin for 'Operation Phoenix'"
		"SFUI_MainMenu_Tooltip_3OpPhoenix_r1"	"Pass for 'Operation Phoenix'"
		"SFUI_MainMenu_Tooltip_3OpPhoenix_r2"	"Challenge Coin for 'Operation Phoenix'"
