
		//
		// Overwatch localized names
		//
		"CSGO_Overwatch_TheSuspect"			"The Suspect"
		"CSGO_FakePlayer_Albatross"			"Albatross"
		"CSGO_FakePlayer_Alpha"				"Alpha"
		"CSGO_FakePlayer_Anchor"			"Anchor"
		"CSGO_FakePlayer_Banjo"				"Banjo"
		"CSGO_FakePlayer_Bell"				"Bell"
		"CSGO_FakePlayer_Beta"				"Beta"
		"CSGO_FakePlayer_Blackbird"			"Blackbird"
		"CSGO_FakePlayer_Bulldog"			"Bulldog"
		"CSGO_FakePlayer_Canary"			"Canary"
		"CSGO_FakePlayer_Cat"				"Cat"
		"CSGO_FakePlayer_Calf"				"Calf"
		"CSGO_FakePlayer_Cyclone"			"Cyclone"
		"CSGO_FakePlayer_Daisy"				"Daisy"
		"CSGO_FakePlayer_Dalmatian"			"Dalmatian"
		"CSGO_FakePlayer_Dart"				"Dart"
		"CSGO_FakePlayer_Delta"				"Delta"
		"CSGO_FakePlayer_Diamond"			"Diamond"
		"CSGO_FakePlayer_Donkey"			"Donkey"
		"CSGO_FakePlayer_Duck"				"Duck"
		"CSGO_FakePlayer_Emu"				"Emu"
		"CSGO_FakePlayer_Eclipse"			"Eclipse"
		"CSGO_FakePlayer_Flamingo"			"Flamingo"
		"CSGO_FakePlayer_Flute"				"Flute"
		"CSGO_FakePlayer_Frog"				"Frog"
		"CSGO_FakePlayer_Goose"				"Goose"
		"CSGO_FakePlayer_Hatchet"			"Hatchet"
		"CSGO_FakePlayer_Heron"				"Heron"
		"CSGO_FakePlayer_Husky"				"Husky"
		"CSGO_FakePlayer_Hurricane"			"Hurricane"
		"CSGO_FakePlayer_Iceberg"			"Iceberg"
		"CSGO_FakePlayer_Iguana"			"Iguana"
		"CSGO_FakePlayer_Kiwi"				"Kiwi"
		"CSGO_FakePlayer_Kite"				"Kite"
		"CSGO_FakePlayer_Lamb"				"Lamb"
		"CSGO_FakePlayer_Lily"				"Lily"
		"CSGO_FakePlayer_Macaw"				"Macaw"
		"CSGO_FakePlayer_Manatee"			"Manatee"
		"CSGO_FakePlayer_Maple"				"Maple"
		"CSGO_FakePlayer_Mask"				"Mask"
		"CSGO_FakePlayer_Nautilus"			"Nautilus"
		"CSGO_FakePlayer_Ostrich"			"Ostrich"
		"CSGO_FakePlayer_Octopus"			"Octopus"
		"CSGO_FakePlayer_Pelican"			"Pelican"
		"CSGO_FakePlayer_Puffin"			"Puffin"
		"CSGO_FakePlayer_Pyramid"			"Pyramid"
		"CSGO_FakePlayer_Rattle"			"Rattle"
		"CSGO_FakePlayer_Robin"				"Robin"
		"CSGO_FakePlayer_Rose"				"Rose"
		"CSGO_FakePlayer_Salmon"			"Salmon"
		"CSGO_FakePlayer_Seal"				"Seal"
		"CSGO_FakePlayer_Shark"				"Shark"
		"CSGO_FakePlayer_Sheep"				"Sheep"
		"CSGO_FakePlayer_Snake"				"Snake"
		"CSGO_FakePlayer_Sonar"				"Sonar"
		"CSGO_FakePlayer_Stump"				"Stump"
		"CSGO_FakePlayer_Sparrow"			"Sparrow"
		"CSGO_FakePlayer_Toaster"			"Toaster"
		"CSGO_FakePlayer_Toucan"			"Toucan"
		"CSGO_FakePlayer_Torus"				"Torus"
		"CSGO_FakePlayer_Violet"			"Violet"
		"CSGO_FakePlayer_Vortex"			"Vortex"
		"CSGO_FakePlayer_Vulture"			"Vulture"
		"CSGO_FakePlayer_Wagon"				"Wagon"
		"CSGO_FakePlayer_Whale"				"Whale"
		"CSGO_FakePlayer_Woodpecker"		"Woodpecker"
		"CSGO_FakePlayer_Zebra"				"Zebra"
		"CSGO_FakePlayer_Zigzag"			"Zigzag"

		//
		// Coop and guardian bots localized names
		//
		"CSGO_FakePlayer_GOTV"				"GOTV"
		"CSGO_FakePlayer_Heavy"				"Heavy"
		"CSGO_FakePlayer_Elite"				"Elite"
		"CSGO_FakePlayer_Expert"			"Expert"
		"CSGO_FakePlayer_Phoenix"			"Phoenix"
		"CSGO_FakePlayer_Attacker"			"Attacker"

		//
		// Bot profiles localized names
		//
		"CSGO_FakePlayer_Cliffe"			"Cliffe"
		"CSGO_FakePlayer_Minh"				"Minh"
		"CSGO_FakePlayer_Crusher"			"Crusher"
		"CSGO_FakePlayer_Garret"			"Garret"
		"CSGO_FakePlayer_Rock"				"Rock"
		"CSGO_FakePlayer_Wolf"				"Wolf"
		"CSGO_FakePlayer_Gunner"			"Gunner"
		"CSGO_FakePlayer_Vitaliy"			"Vitaliy"
		"CSGO_FakePlayer_Ridgway"			"Ridgway"
		"CSGO_FakePlayer_Steel"				"Steel"
		"CSGO_FakePlayer_Stone"				"Stone"
		"CSGO_FakePlayer_Arnold"			"Arnold"
		"CSGO_FakePlayer_Brett"				"Brett"
		"CSGO_FakePlayer_Kurt"				"Kurt"
		"CSGO_FakePlayer_Kyle"				"Kyle"
		"CSGO_FakePlayer_Moe"				"Moe"
		"CSGO_FakePlayer_Quade"				"Quade"
		"CSGO_FakePlayer_Quintin"			"Quintin"
		"CSGO_FakePlayer_Ringo"				"Ringo"
